Município,Classificação de % em relação a população geral,% em relação a população geral,Doses Aplicadas - D1,População,
PALMEIRA D'OESTE,55,22,2282432,2051,9227
SABINO,56,22,15888849,1244,5614
CEDRAL,57,22,3081532,2059,9346
FERNANDO PRESTES,58,22,2278219,1276,5794
MONÇÕES,59,22,114689,499,2267
GÁLIA,60,21,9531009,1423,6482
FERNANDÓPOLIS,61,21,94028991,15227,69402
CÁSSIA DOS COQUEIROS,62,21,91616767,549,2505
TUPÃ,63,21,89873418,14359,65570
ÁGUAS DA PRATA,64,21,87081864,1798,8221
URÂNIA,65,21,85307018,1993,9120
AVAÍ,66,21,78072112,1184,5436
TIMBURI,67,21,7571644,577,2652
LAGOINHA,68,21,66087134,1059,4889
LUCIANÓPOLIS,69,21,63961715,520,2403
LUTÉCIA,70,21,58573596,569,2636
NHANDEARA,71,21,4626529,2474,11527
IPORANGA,72,21,3622291,897,4199
COSMORAMA,73,21,36201699,1559,7298
MURUTINGA DO SUL,74,21,34931203,962,4506
MONTE CASTELO,75,21,33941431,889,4166
DRACENA,76,21,17637056,9962,47043
LOURDES,77,21,4347826,484,2300
BILAC,78,20,90673894,1697,8117
POLONI,79,20,88990676,1277,6113
TRÊS FRONTEIRAS,80,20,85048011,1216,5832
PIQUEROBI,81,20,84347121,771,3699
ESTRELA D'OESTE,82,20,81007246,1752,8419
MACEDÔNIA,83,20,80173348,768,3692
BORÁ,84,20,76372315,174,838
FERNÃO,85,20,671685,357,1727
ITAJOBI,86,20,65764529,3160,15297
SANTA CRUZ DA ESPERANÇA,87,20,62238737,444,2153
CATANDUVA,88,20,49193042,25102,122497
